% b (um)                                          ,w (um)                                            ,Ef (eV)                                           ,freq (THz)                                        ,S11 (1)                                           ,Absorptance (1)
2.2441,12.249,0.12503,3,-0.3794289059446725+0.6289613422556583j           ,0.460441335
2.2441,12.249,0.12503,3.1,-0.20204949533191333+0.7153988168791997j          ,0.447380534
2.2441,12.249,0.12503,3.2,-0.0045680027912748085+0.7531968892186361j        ,0.432673579
2.2441,12.249,0.12503,3.3,0.19994960465514158+0.7375108888233036j           ,0.416097844
2.2441,12.249,0.12503,3.4,0.3971645243019892+0.6668393016975053j            ,0.397585686
2.2441,12.249,0.12503,3.5,0.5721963632609531+0.5434788821566396j            ,0.377222027
2.2441,12.249,0.12503,3.6,0.7106361197451593+0.3738831547257491j            ,0.355207692
2.2441,12.249,0.12503,3.7,0.7998312240233614+0.16870041879471198j           ,0.331810182
2.2441,12.249,0.12503,3.8,0.8302801245090058-0.057690523551835016j          ,0.307306718
2.2441,12.249,0.12503,3.9,0.7968693237823904-0.2882178799599485j            ,0.281929734
2.2441,12.249,0.12503,4,0.6996564065892225-0.5046146724973201j            ,0.255844945
2.2441,12.249,0.12503,4.1,0.5440361598894312-0.6890844695323304j            ,0.229187251
2.2441,12.249,0.12503,4.2,0.3403646958389542-0.8258351219900123j            ,0.202148225
2.2441,12.249,0.12503,4.3,0.1032463574374806-0.902373225850341j             ,0.175062751
2.2441,12.249,0.12503,4.4,-0.14941560536956944-0.9106218633576227j          ,0.148442799
2.2441,12.249,0.12503,4.5,-0.39768697937920094-0.8478912515091773j          ,0.122925492
2.2441,12.249,0.12503,4.6,-0.6212923509545926-0.717520682518545j            ,0.099159885
2.2441,12.249,0.12503,4.7,-0.8016166698056755-0.5288888666024787j           ,0.077687281
2.2441,12.249,0.12503,4.8,-0.9236618248580489-0.2966154831530168j           ,0.058868088
2.2441,12.249,0.12503,4.9,-0.9775504856382038-0.039059125919596004j         ,0.042869433
2.2441,12.249,0.12503,5,-0.9593315859352463+0.22357657422405394j          ,0.029696424
